Train_MAE,Test_MAE
33.550402061052516,38.171828452048516
47.92169921950304,51.60002453875807
33.55039370078747,38.17172512526949
33.55039370078708,38.17172512526915
33.55039370078723,38.171725125267464
33.55039370078678,38.17172512526895
33.550393700787666,38.171725125268544
33.550393700787325,38.171725125270356
33.551245967937305,38.17235044766675
33.55039370078752,38.17172512526856
33.55039370078773,38.17172512526843
33.55039370078687,38.17172512526829
33.55039370078704,38.17172512526924
33.55039400975237,38.171728943843476
33.55039370078745,38.17172512527156
33.550393700787566,38.171725125270065
33.55039575990573,38.17175057447478
33.551259224590815,38.172360193024815
33.55039370078765,38.171725125271514
33.550393700787794,38.17172512526863
33.55039370078708,38.17172512526845
33.55039370078615,38.17172512526974
33.55039370078759,38.17172512527599
33.55039370078708,38.17172512527296
33.55039370078689,38.171725125268
33.550393700787396,38.171725125268615
33.550393700786834,38.17172512526922
33.550393700787374,38.171725125267336
33.55039370078708,38.171725125268246
33.55039370078712,38.1717251252735
33.55039370078762,38.17172512527023
33.550393700787275,38.17172512526924
33.55039439120488,38.17173365832828
33.55039370078795,38.17172512526816
33.55039370078745,38.17172512526975
33.55039370078769,38.1717251252687
33.550393700787275,38.171725125268104
33.5503937007872,38.171725125272054
33.55039370078675,38.17172512526998
33.55039370078756,38.171725125267784
33.550393700787325,38.17172512526845
33.55039370078759,38.171725125272104
33.55039370078716,38.17172512526742
33.55039370078715,38.17172512526804
62.14128152319439,69.38751230157338
33.55039370078685,38.171725125269404
33.55039370078815,38.171725125279075
33.55039370078718,38.17172512527131
33.55047183505783,38.17269080786801
33.550393700787254,38.1717251252682
