Train_MAE,Test_MAE
33.55039431580471,38.17173272643392
33.55077113355156,38.17200205388523
33.55042576796186,38.17212145215646
33.55039370080039,38.17172512543278
33.55050394529516,38.17308766698431
33.550393700787424,38.171725125275856
33.55039370078752,38.17172512527089
33.55039370078723,38.17172512526841
33.55039370078784,38.171725125276495
33.55039370078678,38.17172512526802
33.55039643167216,38.17175887700581
33.550393701735224,38.17172512074196
33.550504430495,38.17309366369554
33.550394335990966,38.17173297592771
33.5503937061481,38.17172519152419
33.550587658283746,38.170798706807815
33.55039376450071,38.171725912721655
33.550393700792206,38.171725125329765
33.55039924490126,38.17179364647152
33.550393700788334,38.171725125283935
33.550393700787396,38.17172512526835
33.55039370078661,38.17172512526697
33.550393700791815,38.17172512524687
33.5504096631533,38.17192240846502
33.550393700797905,38.17172512540046
33.55039370099392,38.17172512782276
33.55039370141462,38.17172512227016
33.55039372243158,38.171725392772466
33.550394029497234,38.17172918788915
33.55040314605387,38.171841861870845
33.550393978192595,38.1717285537972
33.55039370078675,38.17172512526932
33.550397646515684,38.17177389159745
33.55039370078682,38.171725125267585
33.5504090628284,38.171914988892944
33.550393700787325,38.171725125268736
33.55039370078747,38.17172512526911
33.5503937007876,38.17172512526907
33.550589530952166,38.17214471288053
33.554407733759454,38.17467027697005
33.55042276417925,38.17208432759476
33.55039370078736,38.17172512527191
33.55039370080742,38.17172512551553
33.55039721441011,38.171768551083915
33.55040351990217,38.17184648236637
33.550393748271134,38.17172571213559
33.550393700848474,38.171725126024285
33.550394976550734,38.17174089277349
33.55039370080611,38.171725125501695
33.550408471426266,38.171654574796484
